Specimen,Setting_cat,Organism_group,Organism,Total_isolates,Antibiotic,Susceptibility_%
All Specimen,ICU,Gram negative,Pseudomonas aeruginosa (all isolates),22.0,VANCOMYCIN,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,AMIKACIN,100.0
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,AMOXICILLIN/ CLAVULANIC ACID,100.0
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,CEFOPERAZONE / SULBACTAM,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,CEFTAZIDIME,100.0
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,CEFTRIAXONE,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,CIPROFLOXACIN,100.0
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,CLINDAMYCIN,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,CO-TRIMOXAZOLE,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,COLISTIN BY MIC,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,ERTAPENEM,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,ERYTHROMYCIN,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,GENTAMICIN,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,IMIPENEM,100.0
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,LEVOFLOXACIN,100.0
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,MEROPENEM,100.0
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,PENICILLIN BY MIC,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,PIPERACILLIN / TAZOBACTAM,100.0
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,TETRACYCLINE,
All Specimen,ICU,Gram negative,Stenotrophomonas maltophilia,2.0,VANCOMYCIN,
