Specimen,Setting_cat,Organism_group,Organism,Total_isolates,Antibiotic,Susceptibility_%
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,AMIKACIN,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,AMPICILLIN,71.42857360839844
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,CEFOPERAZONE / SULBACTAM,100.0
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,CEFOTAXIME,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,CEFTAZIDIME,100.0
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,CEFTRIAXONE,100.0
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,CHLORAMPHENICOL,87.5
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,CIPROFLOXACIN,43.33333206176758
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,CLINDAMYCIN,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,CO-TRIMOXAZOLE,94.59458923339844
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,COLISTIN BY MIC,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,ERTAPENEM,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,ERYTHROMYCIN,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,GENTAMICIN,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,IMIPENEM,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,LEVOFLOXACIN,66.7
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,MEROPENEM,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,PENICILLIN BY MIC,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,TETRACYCLINE,
All Specimen,Overall,Gram negative,Salmonella spp.,60.0,VANCOMYCIN,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,AMIKACIN,100.0
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,AMPICILLIN,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,CEFOPERAZONE / SULBACTAM,100.0
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,CEFOTAXIME,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,CEFTAZIDIME,100.0
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,CEFTRIAXONE,90.0
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,CIPROFLOXACIN,100.0
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,CLINDAMYCIN,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,CO-TRIMOXAZOLE,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,COLISTIN BY MIC,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,ERTAPENEM,90.0
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,ERYTHROMYCIN,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,GENTAMICIN,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,IMIPENEM,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,LEVOFLOXACIN,100.0
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,MEROPENEM,100.0
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,PENICILLIN BY MIC,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,TETRACYCLINE,
All Specimen,Overall,Gram negative,Serratia marcescens,10.0,VANCOMYCIN,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,AMIKACIN,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,AMPICILLIN,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,CEFOTAXIME,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,CEFTAZIDIME,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,CEFTRIAXONE,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,CIPROFLOXACIN,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,CLINDAMYCIN,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,CO-TRIMOXAZOLE,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,COLISTIN BY MIC,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,ERTAPENEM,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,ERYTHROMYCIN,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,GENTAMICIN,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,IMIPENEM,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,LEVOFLOXACIN,92.30769348144533
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,MEROPENEM,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,PENICILLIN BY MIC,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,TETRACYCLINE,
All Specimen,Overall,Gram negative,Stenotrophomonas maltophilia,26.0,VANCOMYCIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,AMIKACIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,AMPICILLIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,CHLORAMPHENICOL,100.0
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,CIPROFLOXACIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,CLINDAMYCIN,33.33333587646484
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,CO-TRIMOXAZOLE,33.33333587646484
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,ERTAPENEM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,ERYTHROMYCIN,0.0
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,GENTAMICIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,IMIPENEM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,LEVOFLOXACIN,100.0
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,MEROPENEM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,PENICILLIN BY MIC,0.0
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,TETRACYCLINE,33.33333587646484
All Specimen,Overall,Gram positive,(Non-sterile sites) c,3.0,VANCOMYCIN,100.0
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,AMIKACIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,AMPICILLIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,CEFOTAXIME,75.0
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,CEFTRIAXONE,87.5
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,CIPROFLOXACIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,CLINDAMYCIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,CO-TRIMOXAZOLE,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,ERTAPENEM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,ERYTHROMYCIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,GENTAMICIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,IMIPENEM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,LEVOFLOXACIN,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,MEROPENEM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,PENICILLIN BY MIC,75.0
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,TETRACYCLINE,
All Specimen,Overall,Gram positive,(Non-sterile sites) c,16.0,VANCOMYCIN,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,AMIKACIN,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,AMPICILLIN,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,CHLORAMPHENICOL,84.61538696289062
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,CIPROFLOXACIN,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,CLINDAMYCIN,30.76923179626465
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,CO-TRIMOXAZOLE,38.46154022216797
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,ERTAPENEM,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,ERYTHROMYCIN,23.07692337036133
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,GENTAMICIN,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,IMIPENEM,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,LEVOFLOXACIN,92.30769348144533
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,MEROPENEM,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,PENICILLIN BY MIC,76.92308044433594
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,TETRACYCLINE,7.692307949066162
All Specimen,Overall,Gram positive,(Sterile sites) b,13.0,VANCOMYCIN,91.66667175292967
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,AMIKACIN,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,AMPICILLIN,99.23076629638672
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,CIPROFLOXACIN,39.8
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,CLINDAMYCIN,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,CO-TRIMOXAZOLE,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,ERTAPENEM,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,ERYTHROMYCIN,2.307692289352417
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,GENTAMICIN,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,IMIPENEM,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,LEVOFLOXACIN,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,MEROPENEM,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,PENICILLIN BY MIC,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,TETRACYCLINE,8.7
All Specimen,Overall,Gram positive,Enterococcus faecalis,130.0,VANCOMYCIN,98.46154022216795
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,AMIKACIN,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,AMPICILLIN,0.0
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,CIPROFLOXACIN,0.0
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,CLINDAMYCIN,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,CO-TRIMOXAZOLE,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,ERTAPENEM,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,ERYTHROMYCIN,0.0
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,GENTAMICIN,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,IMIPENEM,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,LEVOFLOXACIN,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,MEROPENEM,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,PENICILLIN BY MIC,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,TETRACYCLINE,11.1
All Specimen,Overall,Gram positive,Enterococcus faecium,19.0,VANCOMYCIN,83.33332824707031
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,AMIKACIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,AMPICILLIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,CIPROFLOXACIN,80.76922607421875
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,CLINDAMYCIN,11.53846168518066
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,CO-TRIMOXAZOLE,92.30769348144533
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,ERTAPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,ERYTHROMYCIN,7.692307949066162
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,GENTAMICIN,96.15384674072266
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,IMIPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,LEVOFLOXACIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,MEROPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,PENICILLIN BY MIC,0.0
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,TETRACYCLINE,19.23077011108398
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),26.0,VANCOMYCIN,96.2
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,AMIKACIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,AMPICILLIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,CIPROFLOXACIN,98.1481475830078
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,CLINDAMYCIN,93.51851654052734
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,CO-TRIMOXAZOLE,96.29629516601562
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,ERTAPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,ERYTHROMYCIN,89.81481170654297
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,GENTAMICIN,96.29629516601562
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,IMIPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,LEVOFLOXACIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,MEROPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,PENICILLIN BY MIC,17.59259223937988
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,TETRACYCLINE,46.29629516601562
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),108.0,VANCOMYCIN,99.1
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,AMIKACIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,AMPICILLIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,CIPROFLOXACIN,94.73684692382812
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,CLINDAMYCIN,77.44361114501953
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,CO-TRIMOXAZOLE,95.4887237548828
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,ERTAPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,ERYTHROMYCIN,73.68421173095703
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,GENTAMICIN,96.2406005859375
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,IMIPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,LEVOFLOXACIN,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,MEROPENEM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,PENICILLIN BY MIC,14.28571510314941
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,TETRACYCLINE,40.60150527954102
All Specimen,Overall,Gram positive,Staphylococcus aureus (all isolates),133.0,VANCOMYCIN,98.5
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,AMIKACIN,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,AMPICILLIN,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,CIPROFLOXACIN,45.09803771972656
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,CLINDAMYCIN,33.33333587646484
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,CO-TRIMOXAZOLE,70.5882339477539
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,ERTAPENEM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,ERYTHROMYCIN,21.56862831115723
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,GENTAMICIN,58.82353210449219
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,IMIPENEM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,LEVOFLOXACIN,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,MEROPENEM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,PENICILLIN BY MIC,9.803921699523926
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,TETRACYCLINE,54.90196228027344
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative",52.0,VANCOMYCIN,96.1
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,AMIKACIN,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,AMPICILLIN,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,CEFOTAXIME,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,CEFTAZIDIME,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,CEFTRIAXONE,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,CHLORAMPHENICOL,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,CIPROFLOXACIN,40.47619247436523
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,CLINDAMYCIN,30.9523811340332
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,CO-TRIMOXAZOLE,69.04761505126953
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,COLISTIN BY MIC,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,ERTAPENEM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,ERYTHROMYCIN,16.66666793823242
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,GENTAMICIN,57.14286041259766
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,IMIPENEM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,LEVOFLOXACIN,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,MEROPENEM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,PENICILLIN BY MIC,11.90476226806641
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,PIPERACILLIN / TAZOBACTAM,
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,TETRACYCLINE,57.14286041259766
All Specimen,Overall,Gram positive,"Staphylococcus,coagulase negative (blood)",43.0,VANCOMYCIN,95.2
All Specimen,Overall,Gram positive,Streptococcus agalactiae,25.0,AMIKACIN,
All Specimen,Overall,Gram positive,Streptococcus agalactiae,25.0,AMOXICILLIN/ CLAVULANIC ACID,
All Specimen,Overall,Gram positive,Streptococcus agalactiae,25.0,AMPICILLIN,100.0
All Specimen,Overall,Gram positive,Streptococcus agalactiae,25.0,CEFOPERAZONE / SULBACTAM,
All Specimen,Overall,Gram positive,Streptococcus agalactiae,25.0,CEFOTAXIME,100.0
